school_id,name,emis,district,province,student_teacher_ratio,infrastructure_deficit,material_shortage,geographic_difficulty,socioeconomic_index,mcda_score,predicted_tier,actual_tier,correct
278,Bhanu Dhankuta Ma Vi,NP91940,Dhankuta,province1,47.9,65.5,57.7,40.8,43.1,0.485653,Medium,Medium,yes
260,Pragati Bara Lower Secondary School,NP38569,Bara,madhesh,55.0,56.3,59.9,15.9,62.6,0.479589,Medium,Medium,yes
245,Shree Myagdi Community School,NP63145,Myagdi,gandaki,43.1,54.7,63.8,50.6,59.8,0.478818,Medium,Medium,yes
208,Janahit Kapilvastu Primary School,NP86350,Kapilvastu,lumbini,50.0,57.4,58.5,27.3,66.0,0.477254,Medium,Medium,yes
270,Jana Jyoti Okhaldhunga Secondary School,NP63259,Okhaldhunga,province1,48.4,54.9,49.4,49.8,67.8,0.473952,Medium,Medium,yes
214,Bhanu Pyuthan Ma Vi,NP93315,Pyuthan,lumbini,53.5,56.4,55.9,22.5,63.7,0.472866,Medium,Medium,yes
242,Bal Kalyan Myagdi Lower Secondary School,NP51101,Myagdi,gandaki,45.8,60.0,53.8,59.1,41.4,0.472129,Medium,Medium,yes
231,Rastriya Lamjung Primary School,NP46080,Lamjung,gandaki,36.7,66.4,55.8,53.4,60.9,0.469582,Medium,Medium,yes
209,Rastriya Pyuthan Ma Vi,NP14208,Pyuthan,lumbini,45.5,53.0,54.8,55.6,55.4,0.460834,Medium,Medium,yes
232,Janahit Parbat Primary School,NP16811,Parbat,gandaki,41.2,54.1,58.3,53.0,56.6,0.449384,Medium,Medium,yes
221,Gyanodaya Rolpa Lower Secondary School,NP53172,Rolpa,lumbini,47.0,53.0,59.7,24.3,70.1,0.448782,Medium,Medium,yes
262,Rastriya Rautahat Basic School,NP39886,Rautahat,madhesh,47.5,54.8,63.1,17.5,62.6,0.446091,Medium,Medium,yes
220,Adarsha Gulmi Lower Secondary School,NP68795,Gulmi,lumbini,37.3,68.2,53.6,46.4,50.5,0.445994,Medium,Medium,yes
280,Bhanu Sankhuwasabha Basic School,NP79350,Sankhuwasabha,province1,50.4,35.2,62.4,52.0,58.6,0.442713,Medium,Medium,yes
241,Navajyoti Mustang Ma Vi,NP73773,Mustang,gandaki,45.9,36.5,63.6,68.1,41.9,0.432269,Medium,Medium,yes
277,Gyanodaya Panchthar Community School,NP66069,Panchthar,province1,51.3,47.1,46.4,59.8,39.0,0.42951,Medium,Medium,yes
222,Pragati Nawalparasi West Community School,NP29156,Nawalparasi West,lumbini,32.1,54.8,65.1,48.1,63.4,0.424243,Medium,Medium,yes
275,Bal Kalyan Khotang Community School,NP95564,Khotang,province1,30.7,65.8,63.4,36.5,55.3,0.420427,Medium,Medium,yes
282,Janapriya Bhojpur Lower Secondary School,NP55481,Bhojpur,province1,50.9,53.0,43.5,43.0,44.5,0.418182,Medium,Medium,yes
226,Janapriya Arghakhanchi Community School,NP52431,Arghakhanchi,lumbini,36.3,66.1,59.8,30.4,43.0,0.413016,Medium,Medium,yes
281,Janapriya Khotang Secondary School,NP36878,Khotang,province1,40.5,38.8,58.9,62.3,58.5,0.409945,Medium,Medium,yes
273,Janapriya Sankhuwasabha Community School,NP74300,Sankhuwasabha,province1,50.8,61.0,32.7,39.6,45.4,0.409524,Medium,Medium,yes
272,Shree Okhaldhunga Lower Secondary School,NP68485,Okhaldhunga,province1,44.3,64.5,35.4,52.8,38.5,0.409397,Medium,Medium,yes
283,Bal Kalyan Ilam Primary School,NP44912,Ilam,province1,49.4,53.3,40.1,48.1,42.5,0.407083,Medium,Medium,yes
227,Saraswati Rolpa Lower Secondary School,NP46099,Rolpa,lumbini,30.5,59.7,55.8,54.3,56.7,0.407075,Medium,Medium,yes
219,Gyanodaya Bardiya Secondary School,NP75890,Bardiya,lumbini,40.4,51.2,56.1,31.3,66.7,0.403168,Medium,Medium,yes
233,Adarsha Manang Secondary School,NP25045,Manang,gandaki,39.2,47.1,62.7,44.2,50.0,0.401388,Medium,Medium,yes
238,Tribhuvan Parbat Community School,NP43367,Parbat,gandaki,30.9,61.3,59.3,50.1,44.2,0.401098,Medium,Medium,yes
210,Janata Kapilvastu Community School,NP47406,Kapilvastu,lumbini,39.1,47.6,56.4,50.5,50.8,0.395752,Medium,Medium,yes
247,Shree Baglung Ma Vi,NP51937,Baglung,gandaki,36.0,65.1,44.5,56.2,33.5,0.393601,Medium,Medium,yes
212,Navajyoti Kapilvastu Lower Secondary School,NP34548,Kapilvastu,lumbini,56.1,42.2,37.4,35.5,57.9,0.393003,Medium,Medium,yes
217,Shree Bardiya Secondary School,NP48938,Bardiya,lumbini,39.5,44.7,55.3,44.6,63.6,0.391091,Medium,Medium,yes
234,Janahit Baglung Basic School,NP61319,Baglung,gandaki,25.3,57.1,62.0,67.4,39.7,0.387941,Medium,Medium,yes
230,Bal Kalyan Lamjung Lower Secondary School,NP81274,Lamjung,gandaki,34.6,50.4,63.7,44.7,40.0,0.37883,Medium,Medium,yes
237,Rastriya Parbat Community School,NP60013,Parbat,gandaki,37.2,38.6,54.5,59.8,58.8,0.37394,Medium,Medium,yes
276,Bal Kalyan Dhankuta Lower Secondary School,NP46523,Dhankuta,province1,44.3,39.1,33.0,65.7,67.4,0.370963,Medium,Medium,yes
206,Janapriya Gulmi Basic School,NP92082,Gulmi,lumbini,34.4,61.9,53.7,28.6,46.3,0.369992,Medium,Medium,yes
274,Rastriya Udayapur Secondary School,NP20895,Udayapur,province1,32.3,60.3,46.0,39.9,58.0,0.365442,Medium,Medium,yes
228,Himalaya Tanahun Secondary School,NP38406,Tanahun,gandaki,45.5,35.2,42.5,69.5,36.3,0.355704,Medium,Medium,yes
285,Himalaya Dhankuta Primary School,NP18868,Dhankuta,province1,30.5,50.8,57.1,36.3,62.6,0.354408,Medium,Medium,yes
240,Janata Mustang Lower Secondary School,NP90604,Mustang,gandaki,30.8,38.2,58.8,64.3,54.6,0.353136,Medium,Medium,yes
246,Janapriya Syangja Primary School,NP13038,Syangja,gandaki,35.0,53.5,42.0,51.0,44.7,0.343956,Medium,Medium,yes
207,Adarsha Kapilvastu Community School,NP20320,Kapilvastu,lumbini,32.6,61.8,38.9,37.5,55.2,0.342842,Medium,Medium,yes
239,Adarsha Mustang Community School,NP76564,Mustang,gandaki,27.5,53.2,59.4,50.8,33.3,0.339233,Medium,Medium,yes
236,Tribhuvan Mustang Basic School,NP34014,Mustang,gandaki,25.0,57.4,46.8,57.1,50.1,0.337231,Medium,Medium,yes
243,Navajyoti Mustang Ma Vi,NP21140,Mustang,gandaki,32.3,39.6,53.7,58.7,49.3,0.333625,Medium,Medium,yes
269,Adarsha Bhojpur Primary School,NP92339,Bhojpur,province1,25.0,66.4,50.2,35.5,41.3,0.330456,Medium,Medium,yes
284,Tribhuvan Panchthar Community School,NP17805,Panchthar,province1,45.9,34.4,47.2,33.3,46.0,0.318544,Medium,Medium,yes
211,Navajyoti Banke Basic School,NP50768,Banke,lumbini,32.6,47.5,48.9,39.5,50.3,0.31721,Medium,Medium,yes
224,Tribhuvan Nawalparasi West Secondary School,NP66195,Nawalparasi West,lumbini,28.4,67.2,37.8,27.3,53.7,0.316617,Medium,Medium,yes
229,Navajyoti Syangja Primary School,NP32508,Syangja,gandaki,36.9,44.8,36.4,51.6,47.6,0.310052,Medium,Medium,yes
216,Tribhuvan Arghakhanchi Secondary School,NP53701,Arghakhanchi,lumbini,32.3,44.4,56.4,29.5,49.6,0.308312,Medium,Medium,yes
288,Saraswati Makwanpur Lower Secondary School,NP18263,Makwanpur,bagmati,37.0,45.8,38.7,44.2,45.4,0.305155,Medium,Low,no
223,Janata Palpa Lower Secondary School,NP19799,Palpa,lumbini,30.0,43.7,35.1,55.4,70.5,0.303126,Medium,Medium,yes
290,Janahit Sindhupalchok Secondary School,NP67570,Sindhupalchok,bagmati,40.1,57.9,28.8,37.7,22.4,0.293154,Medium,Low,no
268,Shree Solukhumbu Ma Vi,NP29177,Solukhumbu,province1,29.1,58.0,31.5,44.0,46.3,0.28651,Medium,Medium,yes
299,Bhanu Dhading Lower Secondary School,NP47716,Dhading,bagmati,39.2,45.0,36.2,27.6,46.6,0.278728,Medium,Low,no
215,Janata Gulmi Secondary School,NP61224,Gulmi,lumbini,34.4,38.9,36.1,56.2,43.8,0.276695,Medium,Medium,yes
279,Janapriya Udayapur Community School,NP75049,Udayapur,province1,29.0,35.6,55.5,34.2,50.2,0.264339,Low,Medium,no
244,Jana Jyoti Lamjung Basic School,NP78211,Lamjung,gandaki,34.7,35.0,37.3,53.8,42.2,0.261089,Low,Medium,no
289,Rastriya Rasuwa Secondary School,NP32238,Rasuwa,bagmati,30.7,52.7,30.6,35.2,46.8,0.257921,Low,Low,yes
235,Saraswati Gorkha Lower Secondary School,NP28867,Gorkha,gandaki,25.7,36.8,48.8,43.3,49.0,0.244968,Low,Medium,no
287,Janata Nuwakot Lower Secondary School,NP96164,Nuwakot,bagmati,31.8,41.1,43.4,18.3,42.3,0.223839,Low,Low,yes
291,Himalaya Makwanpur Lower Secondary School,NP71189,Makwanpur,bagmati,27.1,39.0,47.1,20.6,44.2,0.208649,Low,Low,yes
298,Pragati Sindhuli Community School,NP20416,Sindhuli,bagmati,35.1,32.4,24.9,42.4,47.4,0.202834,Low,Low,yes
296,Gyanodaya Nuwakot Community School,NP73922,Nuwakot,bagmati,28.6,36.4,45.3,20.1,35.1,0.188182,Low,Low,yes
292,Himalaya Sindhupalchok Ma Vi,NP86185,Sindhupalchok,bagmati,26.0,53.5,28.7,22.6,30.0,0.184131,Low,Low,yes
293,Saraswati Rasuwa Basic School,NP59791,Rasuwa,bagmati,28.7,45.5,24.4,32.1,33.6,0.177834,Low,Low,yes
300,Navajyoti Dhading Ma Vi,NP44522,Dhading,bagmati,19.4,40.0,42.6,42.4,29.9,0.175834,Low,Low,yes
286,Bal Kalyan Nuwakot Primary School,NP99163,Nuwakot,bagmati,22.4,45.8,36.0,31.1,29.7,0.17309,Low,Low,yes
297,Tribhuvan Sindhuli Basic School,NP59260,Sindhuli,bagmati,21.0,54.0,25.0,30.5,30.5,0.162355,Low,Low,yes
294,Saraswati Ramechhap Primary School,NP57197,Ramechhap,bagmati,18.6,45.4,25.7,32.2,30.7,0.122999,Low,Low,yes
295,Pragati Dolakha Ma Vi,NP34673,Dolakha,bagmati,29.1,26.9,26.7,40.4,23.8,0.119365,Low,Low,yes
